DATE,EVENT_URL,ORGANIZER,PLAYER_COUNT
7202/03/16,https://melee.gg/Tournament/View/270358,Past Present Future Comics Inc.,10
2195/07/19,https://melee.gg/Tournament/View/337968,Game Grove,4
2027/01/06,https://melee.gg/Tournament/View/393750,Oxshed Cafe,0
2026/12/22,https://melee.gg/Tournament/View/376783,GameKnight Games and Cool Stuff,11
2026/12/13,https://melee.gg/Tournament/View/409473,Xpoly Tcg Store,9
2026/12/12,https://melee.gg/Tournament/View/409470,Xpoly Tcg Store,6
2026/12/11,https://melee.gg/Tournament/View/443978,Les Jeux du Troll,6
2026/12/11,https://melee.gg/Tournament/View/444030,Tienda Kaleidoscopio,5
2026/12/11,https://melee.gg/Tournament/View/443801,Ludotrotter Metz,8
2026/12/07,https://melee.gg/Tournament/View/433484,frikigalaxy,15
2026/12/07,https://melee.gg/Tournament/View/434629,temple du jeu VANNES,10
2026/12/07,https://melee.gg/Tournament/View/443460,MEiSiA,5
2026/12/07,https://melee.gg/Tournament/View/444135,Buymeeples,6
2026/12/07,https://melee.gg/Tournament/View/438325,REBEL FORGE,7
2026/12/07,https://melee.gg/Tournament/View/443823,Hangar Rebelde,8
2026/12/07,https://melee.gg/Tournament/View/444210,SWU JP,6
2026/12/07,https://melee.gg/Tournament/View/443835,War Lotus,5
2026/12/07,https://melee.gg/Tournament/View/443937,Le Gobelin,14
2026/12/07,https://melee.gg/Tournament/View/444114,ASGARD LUDERIA E BAR LTDA,16
2026/12/06,https://melee.gg/Tournament/View/443844,Lord of the Games,14
2026/12/06,https://melee.gg/Tournament/View/430412,Comic Planet Osnabrück,3
2026/12/06,https://melee.gg/Tournament/View/444053,El Calabozo,6
2026/12/06,https://melee.gg/Tournament/View/444036,XPlace,12
2026/12/06,https://melee.gg/Tournament/View/443964,Gones Unlimited,8
2026/12/06,https://melee.gg/Tournament/View/443921,Robe da Elfi,10
2026/12/06,https://melee.gg/Tournament/View/435083,Gamers Academy,4
2026/12/06,https://melee.gg/Tournament/View/443813,Mangatec - shinjuku,9
2026/12/06,https://melee.gg/Tournament/View/443807,Lord of the Games,15
2026/12/06,https://melee.gg/Tournament/View/443757,CROSS STORE,8
2026/12/06,https://melee.gg/Tournament/View/443848,CARTARENNES,8
2026/12/06,https://melee.gg/Tournament/View/436067,Fireball,4
2026/12/06,https://melee.gg/Tournament/View/444025,EmpireGames,8
2026/12/06,https://melee.gg/Tournament/View/436243,Miyata Kard Market,13
2026/12/06,https://melee.gg/Tournament/View/426882,Freakmondo,9
2026/12/06,https://melee.gg/Tournament/View/435280,X1 Arena SWU,4
2026/12/06,https://melee.gg/Tournament/View/421212,Teseracto Vilafranca,26
2026/12/05,https://melee.gg/Tournament/View/435929,Geek Collector,4
2026/12/05,https://melee.gg/Tournament/View/421237,LaComarca,5
2026/12/05,https://melee.gg/Tournament/View/428171,The Big Bang Games,6
2026/12/04,https://melee.gg/Tournament/View/421184,El Animago Azul,8
2026/12/04,https://melee.gg/Tournament/View/421162,Ludotrotter Tours,14
2026/12/04,https://melee.gg/Tournament/View/421404,Versus Gamecenter Lisboa,10
2026/12/04,https://melee.gg/Tournament/View/421164,Arte 9,7
2026/12/04,https://melee.gg/Tournament/View/413779,HoloTableHub Gamestore,19
